,date,site_nox
1052,2022-11-20,16.991667
1053,2022-11-21,34.191667
1054,2022-11-22,51.1
1055,2022-11-23,64.952632
1056,2022-11-24,56.6125
1057,2022-11-25,18.452632
1058,2022-11-26,19.55
1059,2022-11-27,21.6
1060,2022-11-28,26.895833
1061,2022-11-29,65.918182
1062,2022-11-30,136.2
1063,2022-12-01,33.141667
1064,2022-12-02,48.754545
1065,2022-12-03,16.970833
1066,2022-12-04,25.4625
1067,2022-12-05,141.95
1068,2022-12-06,68.466667
1069,2022-12-07,22.7125
1070,2022-12-08,32.291667
1071,2022-12-09,30.975
1072,2022-12-10,27.168421
1073,2022-12-11,18.204167
1074,2022-12-12,31.859091
1075,2022-12-13,42.5375
1076,2022-12-14,31.65
1077,2022-12-15,39.825
1078,2022-12-16,23.222727
1079,2022-12-17,16.120833
1080,2022-12-18,16.908333
1081,2022-12-19,24.05
1082,2022-12-20,36.066667
1083,2022-12-21,93.245833
1084,2022-12-22,101.720833
1085,2022-12-23,9.45
1086,2022-12-24,15.683333
1087,2022-12-25,17.216667
1088,2022-12-26,25.077273
1089,2022-12-27,33.633333
1090,2022-12-28,38.704167
1091,2022-12-29,60.0375
1092,2022-12-30,69.883333
1093,2022-12-31,59.8
1094,2023-01-01,29.558333
1095,2023-01-02,54.863636
1096,2023-01-03,63.336842
1097,2023-01-04,44.5
1098,2023-01-05,43.416667
1099,2023-01-06,40.0875
1100,2023-01-07,27.240909
1101,2023-01-08,23.404167
1102,2023-01-09,37.609091
1103,2023-01-10,39.254167
1104,2023-01-11,42.7375
1105,2023-01-12,50.891667
1106,2023-01-13,19.213636
1107,2023-01-14,14.358333
1108,2023-01-15,13.545833
1109,2023-01-16,28.618182
1110,2023-01-17,82.070588
1111,2023-01-18,42.620833
1112,2023-01-19,47.954167
